osm_id,lon,lat,nome,capacidade,tipo,cobertura,operador,taxa,período_máximo,vigilância,logradouro,número
208537789,-43.1760821,-22.9566949,,,,,,,,,,
299617743,-43.2321268,-22.9792638,PUC-Rio,200,stands,yes,,no,,,,
331631023,-43.1697711,-22.9549734,,15,,no,,,,,,
332238483,-43.1805903,-22.9648264,,12,stands,no,,no,,,,
338792635,-43.1769893,-22.9577684,,,,,,,,,,
338798493,-43.1840959,-22.9476225,,31,anchors,yes,Botafogo Praia Shopping,no,,,,
365743387,-43.1694194,-22.9637971,,3,,,,,,,,
365743916,-43.1697464,-22.9639107,,3,,,,,,,,
365744391,-43.1687596,-22.9635007,,6,,,,,,,,
365744408,-43.1689038,-22.9635513,,6,,,,,,,,
365744865,-43.1731525,-22.9650507,,,,,,,,,,
412272170,-43.1815011,-22.9458962,,9,,no,,,,,,
412272171,-43.1811096,-22.9480270,,8,,no,,,,,,
412272173,-43.1815611,-22.9465410,,13,,no,,,,,,
430968787,-43.1238759,-22.8934813,,12,,no,,,,,,
454457637,-43.1778071,-22.9555492,,12,,no,,,,,,
462747753,-46.5647429,-23.5389277,,,,,,,,,,
475996261,-43.1731493,-22.9070436,,30,,,,no,,,,
527166756,-43.1843713,-22.9493457,,12,,,,,,,,
527338791,-43.1884206,-22.9494894,,12,stands,no,,no,,,,
533915669,-45.1196358,-22.7401010,,,,,,,,,,
556696415,-43.1766610,-22.9025951,,6,,,,,,,,
557557856,-43.2284896,-22.9757956,,5,,no,,,,,,
562181417,-43.1928253,-22.9762808,,,,,,,,,,
605075791,-43.1062514,-22.7545698,,,,,,,,,,
607513133,-43.1070561,-22.7624846,,,,,,,,,,
607513261,-43.1077534,-22.7613667,,,,,,,,,,
608717189,-43.1077339,-22.7622945,,12,,,,,,,,
608717193,-43.1074121,-22.7623737,,,,,,,,,,
608717198,-43.1076803,-22.7629673,,,,,,,,,,
612558195,-38.0889328,-12.6425606,,,,,,,,,,
614482631,-43.2910352,-22.9477274,,6,,,,,,,,
614496057,-43.1735775,-22.9034134,,6,,,,,,,,
614496061,-43.1740412,-22.9022524,,,,,,,,,,
614496447,-43.2810241,-22.9555018,,,,,,,,,,
704889596,-43.1783754,-22.9251740,,3,,,,,,,,
704889604,-43.1782252,-22.9251098,,1,,,,,,,,
704992190,-43.1758564,-22.9279405,,5,,,,,,,,
704992212,-43.1752556,-22.9279109,,6,wall_hoops,yes,Academia Personal Physical Center,no,,,,
724757320,-43.4481124,-22.8758141,,5,,,,,,,,
727632327,-43.1982458,-22.9560094,,8,,,,,,,,
768959274,-47.8724442,-15.7655901,,,,,,,,,,
771839321,-43.1977911,-22.9845075,,,,,,,,,,
814237411,-43.1735980,-22.9524756,,9,,no,,,,,,
852186532,-49.2519295,-25.4506383,Estacionamento de Bicicleta,18,,,,,,,,
852186535,-49.2507307,-25.4541192,Estacionamento de Bicicleta,20,,,,,,,,
865743637,-49.2509671,-25.4504852,Estacionamento de Bicicleta,18,,,,,,,,
865743643,-49.2513789,-25.4525212,Estacionamento de Bicicleta,9,,,,,,,,
888605512,-43.2348403,-22.9216814,,15,,no,Shopping Tijuca,no,,,,
920650092,-43.2814107,-22.8824982,,12,wall_hoops,no,Sam's Club,no,,,,
921822286,-40.2976397,-20.2808486,,,,,,,,,,
921822294,-40.2930480,-20.2827911,,,,,,,,,,
952402264,-48.2586329,-18.9171018,,12,,,,,,,,
1073053589,-37.0716290,-10.9483075,Extra,,,no,,no,,,,
1080533800,-37.0594485,-10.9446155,,,,,,no,,,,
1081107397,-37.0484380,-10.9438878,Shopping Riomar,,,,,no,,,,
1081135725,-43.1775946,-22.9535128,,,,,,,,,,
1117541983,-47.0704359,-22.8152996,,,,,,,,,,
1120614474,-34.9305864,-8.0652866,bicicletário da CHESF,estacionamento de bicicletas da CHESF,,,,,,,,
1143260928,-53.7422689,-24.7191807,Estacionamento Teatro Municipal,,,,,,,,,
1148200345,-43.1695528,-22.9635201,,13,,,,,,,,
1187727924,-43.3719798,-22.8620141,,5,,,,,,,,
1303681659,-43.2123393,-22.9600345,,30,,,,,,,,
1307360945,-43.1730733,-22.9652795,,3,,,,,,,,
1307361000,-43.1665925,-22.9624840,,4,,,,,,,,
1307361002,-43.1728861,-22.9651968,,3,,,,,,,,
1307367015,-43.1762670,-22.9667518,,3,,,,,,,,
1307367017,-43.1782124,-22.9674815,,2,,,,,,,,
1307367039,-43.1743063,-22.9655235,,8,,,,,,,,
